Filename,MaxFeretLength,MinFeretLength
0,850.8489877763269,308.2985565973347
1,2172.6085703596036,592.3539449554843
10,745.167095355129,511.4822537215025
2,2072.9459713171495,1170.0317753878312
3,1771.851291728513,463.93014122110486
4,1851.3238506539044,189.70188027596456
417,177.17787672280082,98.0
418,4.47213595499958,3.5355339059327373
419,5.0990195135927845,3.0
420,16.492422502470642,12.636972315666862
421,31.016124838541646,11.0
422,7.280109889280518,4.0
423,10.198039027185569,3.0
5,962.1876116433842,570.0
6,2415.8178739300693,420.5226392429306
7,1035.3018883398213,627.4871363227321
714,3287.7081683142133,1824.0
8,1410.4470922370679,970.6738759786192
9,3287.7081683142133,1824.0
